title,artist,bpm,energy,danceability,loudness,valence,acousticness,speechiness,instrumentalness
Breathe,Faith Hill,136.859,0.496,0.529,-9.007,0.278,0.173,0.029,0.0
Smooth,Santana,115.996,0.923,0.609,-3.908,0.961,0.16,0.0338,4.7300000000000005e-06
Smooth,Rob Thomas,115.983,0.637,0.59,-9.171,0.724,0.00225,0.0301,0.807
Maria Maria,Santana,97.911,0.601,0.777,-5.931,0.68,0.0406,0.126,0.00201
I Wanna Know,Joe,136.086,0.487,0.725,-5.959,0.599,0.26,0.0368,1.09e-05
Everything You Want,Vertical Horizon,93.896,0.761,0.636,-6.389,0.736,0.0517,0.0306,0.0
I Knew I Loved You,Savage Garden,85.031,0.497,0.61,-9.88,0.739,0.32,0.0279,6.11e-05
Amazed,Lonestar,139.803,0.543,0.561,-8.498,0.243,0.26,0.0324,0.0
Bent,Matchbox Twenty,95.468,0.8300000000000001,0.518,-6.814,0.527,0.0404,0.0386,3.85e-06
He Wasn't Man Enough,Toni Braxton,88.009,0.947,0.739,-1.916,0.766,0.00916,0.0411,3.14e-05
Higher,Creed,155.827,0.8300000000000001,0.459,-6.254,0.431,5.15e-05,0.0364,0.00014
Try Again,Aaliyah,93.053,0.662,0.794,-4.913,0.683,0.0789,0.249,0.0
Thong Song,Sisqó,121.549,0.888,0.706,-6.959,0.714,0.119,0.0654,9.64e-05
Kryptonite,3 Doors Down,99.009,0.865,0.545,-5.708,0.543,0.00664,0.0286,1.1e-05
There You Go,Pink,156.288,0.891,0.242,-2.71,0.515,0.00559,0.0443,0.215
Music,Madonna,119.854,0.802,0.736,-8.527,0.871,0.00149,0.0663,0.0876
What a Girl Wants,Christina Aguilera,142.137,0.8190000000000001,0.754,-6.833,0.8180000000000001,0.0684,0.112,0.0
Back at One,Brian McKnight,129.752,0.346,0.661,-9.115,0.256,0.452,0.03,0.0
Bye Bye Bye,NSYNC,172.638,0.926,0.61,-4.843,0.861,0.031,0.0479,0.0012
You Sang to Me,Marc Anthony,165.98,0.894,0.578,-5.42,0.741,0.0103,0.0296,2.66e-06
I Need to Know,Marc Anthony,115.061,0.949,0.8130000000000001,-2.563,0.792,0.486,0.0336,9.75e-06
Get It On Tonite,Montell Jordan,99.001,0.498,0.807,-9.91,0.857,0.259,0.0756,3.04e-05
Incomplete,Sisqó,119.311,0.443,0.746,-7.693,0.272,0.282,0.0771,0.0
I Try,Macy Gray,76.403,0.642,0.593,-7.284,0.736,0.313,0.0299,0.0005819999999999
It's Gonna Be Me,'N Sync,82.493,0.48,0.81,-12.446,0.672,0.0188,0.138,1.5799999999999998e-05
Country Grammar (Hot Shit),Nelly,162.831,0.664,0.865,-6.822,0.5650000000000001,0.00689,0.108,0.0
Bring It All to Me,Blaque,88.957,0.579,0.6950000000000001,-5.066,0.726,0.000479,0.0325,0.0
Show Me the Meaning of Being Lonely,Backstreet Boys,167.998,0.625,0.63,-5.088,0.683,0.231,0.0252,0.0
Hot Boyz,Missy Elliott,81.125,0.445,0.727,-11.241,0.527,0.339,0.291,0.0
Back Here,BBMak,104.77,0.945,0.624,-3.109,0.914,0.0698,0.0343,4.57e-06
It Feels So Good,Sonique,135.012,0.677,0.634,-7.278,0.558,0.0117,0.0304,0.00103
Absolutely (Story of a Girl),Nine Days,96.493,0.94,0.481,-5.204,0.66,0.000891,0.066,0.0
With Arms Wide Open,Creed,138.852,0.539,0.41,-8.412,0.141,0.00425,0.0302,0.00089
Be with You,Enrique Iglesias,121.996,0.866,0.683,-5.436,0.542,0.0395,0.0329,0.00161
Come On Over Baby (All I Want Is You),Christina Aguilera,118.903,0.915,0.8290000000000001,-3.205,0.779,0.226,0.106,1.25e-05
No More,Ruff Endz,97.004,0.641,0.839,-5.6690000000000005,0.927,0.0324,0.0858,4.56e-06
All the Small Things,Blink 182,148.726,0.897,0.434,-4.918,0.684,0.0103,0.0488,0.0
The Way You Love Me,Faith Hill,101.99,0.716,0.627,-7.175,0.734,0.127,0.0352,0.0
I Turn to You,Christina Aguilera,127.177,0.47,0.599,-8.356,0.298,0.38,0.0376,0.0
Never Let You Go,Third Eye Blind,113.76,0.94,0.728,-5.034,0.967,0.0814,0.0368,0.0001619999999999
I Need You,LeAnn Rimes,144.705,0.736,0.478,-7.124,0.5640000000000001,0.02,0.0367,9.58e-05
Thank God I Found You,Mariah Carey,129.297,0.532,0.348,-5.882,0.148,0.592,0.0331,0.0
Let's Get Married,Jagged Edge,96.807,0.492,0.707,-11.754,0.643,0.211,0.0418,0.0
My Love Is Your Love,Whitney Houston,82.511,0.475,0.77,-9.512,0.473,0.0561,0.159,4.72e-06
Then the Morning Comes,Smash Mouth,118.58,0.881,0.729,-5.024,0.963,0.0231,0.0283,0.0
Blue (Da Ba Dee),Eiffel 65,128.007,0.969,0.8220000000000001,-11.471,0.765,0.259,0.0582,0.000153
Desert Rose,Sting,111.993,0.654,0.577,-7.9,0.13,0.0143,0.0321,0.0
Desert Rose,Cheb Mami,114.995,0.738,0.5760000000000001,-9.15,0.398,0.224,0.0343,1.77e-05
The Real Slim Shady,Eminem,104.504,0.661,0.949,-4.244,0.76,0.0302,0.0572,0.0
Wifey,Next,99.584,0.713,0.8310000000000001,-6.967,0.683,0.0678,0.104,0.0
Wonderful,Everclear,186.765,0.8170000000000001,0.514,-6.489,0.734,0.0118,0.05,8.25e-06
Oops!... I Did It Again,Britney Spears,95.053,0.834,0.751,-5.444,0.894,0.3,0.0437,1.77e-05
I Wanna Love You Forever,Jessica Simpson,104.042,0.666,0.59,-4.047,0.0743,0.156,0.0244,0.0
